Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
AGRIS	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
AGRIS	EBSCO	EBSCOhost	Searches-federated and automated	282827	75886	70630	70700	65611
AGRIS	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
AGRIS	EBSCO	EBSCOhost	Record Views	184	81	34	17	52
Academic Search Premier	EBSCO	EBSCOhost	Regular Searches	573	140	209	105	119
Academic Search Premier	EBSCO	EBSCOhost	Searches-federated and automated	289837	76546	72399	73080	67812
Academic Search Premier	EBSCO	EBSCOhost	Result Clicks	942	325	159	204	254
Academic Search Premier	EBSCO	EBSCOhost	Record Views	1716	211	176	205	1124
Adam Matthew Digital	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Adam Matthew Digital	EBSCO	EBSCOhost	Searches-federated and automated	284099	76238	70911	71020	65930
Adam Matthew Digital	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Adam Matthew Digital	EBSCO	EBSCOhost	Record Views	119	26	49	21	23
Alexander Street Press	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Alexander Street Press	EBSCO	EBSCOhost	Searches-federated and automated	289167	76320	72254	72940	67653
Alexander Street Press	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Alexander Street Press	EBSCO	EBSCOhost	Record Views	43	9	14	12	8
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 1	EBSCO	EBSCOhost	Regular Searches	190	14	144	17	15
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 1	EBSCO	EBSCOhost	Searches-federated and automated	5069	65	1345	1928	1731
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 1	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 1	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 2	EBSCO	EBSCOhost	Regular Searches	190	14	144	17	15
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 2	EBSCO	EBSCOhost	Searches-federated and automated	5068	65	1345	1928	1730
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 2	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
American Antiquarian Society (AAS) Historical Periodicals Collection: Series 2	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
