Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2019	Feb-2019	Mar-2019	Apr-2019
Total for all journals		EBSCOhost					1821	594	1226	588	386	423	424
ABA Journal	American Bar Association	EBSCOhost		351	0747-0088	2162-7983	1	1	0	0	0	0	1
AIP Conference Proceedings Online	American Institute of Physics	EBSCOhost		271	0094-243X	1551-7616	1	1	0	0	0	0	1
AISHE-J: The All Ireland Journal of Teaching and Learning in Higher Education	All Ireland Society for Higher Education (AISHE)	EBSCOhost		559870		2009-3160	1	0	1	0	0	0	1
ATQ	American Transcendental	EBSCOhost		8213	1078-3377		1	1	0	0	0	0	1
About Campus	SAGE Publications	EBSCOhost		491	1086-4822	1536-0687	1	0	1	1	0	0	0
Academic Questions	Springer Nature	EBSCOhost		607	0895-4852	1936-4709	6	4	2	0	0	6	0
Acta Anaesthesiologica Scandinavica	Wiley-Blackwell	EBSCOhost		914	0001-5172	1399-6576	1	0	1	0	0	1	0
Acta Neurologica Scandinavica	Wiley-Blackwell	EBSCOhost		1252	0001-6314	1600-0404	1	0	1	0	0	0	1
Acta Psychiatrica Scandinavica. Supplementum	Wiley-Blackwell	EBSCOhost		1429	0065-1591	1600-0447	1	0	1	0	1	0	0
Acta Sociologica	SAGE Publications	EBSCOhost		123573	0001-6993	1502-3869	7	5	2	0	0	7	0
Administrative Science Quarterly	SAGE Publications	EBSCOhost		1763	0001-8392	1930-3815	2	2	0	0	0	1	1
Africa	Edinburgh University Press	EBSCOhost		422281	0001-9720	1750-0184	1	0	1	1	0	0	0
Africa: Journal of the International African Institute	Cambridge University Press	EBSCOhost		2306	0001-9720	1750-0184	1	0	1	1	0	0	0
African American review	Johns Hopkins University Press	EBSCOhost		2345	1062-4783	1945-6182	3	1	2	1	0	1	1
African Arts	MIT Press	EBSCOhost		2348	0001-9933	1937-2108	1	1	0	0	1	0	0
African studies	Taylor & Francis	EBSCOhost		2397	0002-0184	1469-2872	1	0	1	1	0	0	0
AfterImage	University of California Press	EBSCOhost		2441	0300-7472	2578-8531	2	2	0	0	0	2	0
Agora	History Teachers Assn Victoria	EBSCOhost		209082	0044-6726		1	0	1	0	1	0	0
Agricultural Research	United States Department of Agriculture	EBSCOhost		2577	0002-161X	2169-8244	1	1	0	1	0	0	0
